Postcode,ABN,StartYear,EndYear
5000,34383885918,2000.5,2015.5833333333333
5000,19132950826,2008.6666666666667,2015.5833333333333
5000,15010960056,0.0,2013.5
5000,32463443008,0.0,2009.6666666666667
5000,30150290092,2011.3333333333333,2015.5833333333333
5000,38934894571,0.0,2015.1666666666667
5000,38385840585,0.0,2009.1666666666667
5000,17902131483,1999.0833333333333,2015.5833333333333
5000,45288182362,0.0,2007.0833333333333
5006,31134359907,0.0,2014.5
5000,34981459946,2008.5,2015.5833333333333
5000,32571562418,2000.4166666666667,2015.5833333333333
5000,13134597103,0.0,2014.5
5000,12606289695,2003.1666666666667,2015.5833333333333
5000,54784860212,2000.4166666666667,2015.5833333333333
5006,11084900322,0.0,2015.0833333333333
5000,16007831727,2010.0833333333333,2015.5833333333333
5000,27599624673,2001.25,2015.5833333333333
